id,title_es,title_en,text_es,text_en
11,La Lechera y su Cubo,The Milkmaid and Her Pail,Una lechera caminaba al mercado pensando en comprar pollos con el dinero de la leche. Soñaba con vender los pollos y comprar un vestido. Tropezó por distraerse y la leche se derramó en la tierra.,A milkmaid walked to the market planning to buy chickens with the milk money. She dreamed of selling chickens to buy a dress. She tripped because of her daydream and the milk spilled on the ground.
12,La Zorra y el Cuervo,The Fox and the Crow,"Un cuervo tenía queso en su pico. La zorra le alabó la voz para que cantara y soltara la comida. El cuervo abrió el pico para cantar, el queso cayó y la zorra lo atrapó en el aire.","A crow held cheese in his beak. The fox praised his voice so he would sing and drop the food. The crow opened his beak to sing, the cheese fell and the fox caught it in the air."
13,Las Dos Ranas,The Two Frogs,"Dos ranas vivían en una charca que se secó. Encontraron un pozo profundo. Una quería saltar dentro, pero la otra dijo que si el agua se secaba allí también, no podrían salir de ninguna manera.","Two frogs lived in a pond that dried up. They found a deep well. One wanted to jump in, but the other said if the water dried up there too, they would not be able to get out at all."
14,El Pescador y el Pez,The Fisherman and the Little Fish,Un pescador atrapó un pez pequeño. El pez le rogó que lo soltara y lo atrapara cuando fuera grande. El pescador se negó diciendo que más vale pájaro en mano que cien volando.,A fisherman caught a tiny fish. The fish begged to be released and caught when it was larger. The fisherman refused saying a bird in the hand is worth two in the bush.
15,El León Enamorado,The Lion in Love,Un león se enamoró de la hija de un labrador. El hombre le pidió que se cortara las garras y los dientes para casarse. El león aceptó y el labrador lo echó a golpes al dejarlo sin defensa.,"A lion fell in love with a farmer's daughter. The man asked him to cut his claws and teeth to marry. The lion agreed, and the farmer chased him away since he was now defenseless."
16,La Zorra y la Cigüeña,The Fox and the Stork,La zorra sirvió sopa a la cigüeña en un plato llano que no podía usar. La cigüeña invitó luego a la zorra y le sirvió en un jarrón de cuello largo. Trata a los demás como quieres que te traten.,The fox served soup to the stork on a flat plate she could not use. The stork then invited the fox and served in a long-necked jar. Treat others the way you want to be treated.
17,El Congreso de los Ratones,The Mice in Council,"Los ratones querían ponerle un cascabel al gato para saber cuándo venía. Todos aplaudieron la gran idea, pero se quedaron en silencio cuando un viejo ratón preguntó quién se atrevía a ponerlo.","The mice wanted to put a bell on the cat to know when he was coming. Everyone cheered the great idea, but they fell silent when an old mouse asked who dared to actually bell the cat."
18,El Lobo con Piel de Oveja,The Wolf in Sheep's Clothing,"Un lobo se disfrazó con una piel de oveja para entrar al rebaño y comer fácil. Por la noche, el pastor entró buscando carne para la cena, tomó al lobo por error y acabó con él al instante.","A wolf dressed in sheepskin to enter the flock and eat easily. At night, the shepherd came in looking for meat for dinner, took the wolf by mistake, and dispatched him instantly."
19,La Tortuga y el Águila,The Tortoise and the Eagle,Una tortuga rogó a un águila que le enseñara a volar. El águila la elevó por los cielos y la soltó para que aleteara. La tortuga cayó sobre las rocas y se rompió por no aceptar sus límites.,A tortoise begged an eagle to teach her to fly. The eagle raised her high into the skies and let her go to flap her wings. The tortoise fell on the rocks and shattered for ignoring her limits.
20,El Asno y su Sombra,The Ass and His Shadow,"Un viajero alquiló un asno. Al mediodía, quiso sentarse bajo la sombra del animal, pero el dueño decía que alquiló el asno y no su sombra. Pelearon tanto que el asno se asustó y huyó corriendo.","A traveler rented a donkey. At noon, he wanted to sit in the animal's shadow, but the owner said he rented the donkey and not its shadow. They fought so much that the donkey got scared and fled."
21,El Pavo Real y la Grulla,The Peacock and the Crane,"Un pavo real se burlaba de las plumas grises de una grulla. La grulla respondió que ella podía volar alto hasta tocar las estrellas, mientras el pavo real caminaba por el suelo como un pollo.","A peacock mocked the gray feathers of a crane. The crane replied that she could fly high to touch the stars, while the peacock walked on the ground like a common chicken."
22,La Rana y el Buey,The Frog and the Ox,Una pequeña rana vio a un buey y quiso ser tan grande como él. Empezó a inflarse de aire preguntando a sus compañeras si ya era enorme. Siguió inflándose tanto que reventó por vanidosa.,"A tiny frog saw an ox and wanted to be as big as him. She began to puff herself with air, asking her companions if she was huge yet. She kept puffing so much that she burst out of vanity."
23,El León y los Tres Bueyes,The Lion and the Three Bulls,"Tres bueyes pastaban juntos y se defendían del león. El león sembró discordia y celos entre ellos hasta que se separaron. Una vez solos, el león los cazó a todos uno a uno sin esfuerzo.","Three bulls grazed together and defended themselves from the lion. The lion sowed discord and jealousy among them until they parted. Once alone, the lion hunted them one by one without effort."
24,El Perro del Hortelano,The Dog in the Manger,Un perro reposaba sobre el pajar de un buey. No comía la paja ni dejaba que el buey la comiera para alimentarse. No seas envidioso impidiendo que otros disfruten lo que tú no puedes usar.,"A dog lay in a manger full of hay. He did not eat the hay himself, nor would he let the ox eat it for food. Do not be envious by preventing others from enjoying what you cannot use."
25,El Avaro y su Oro,The Miser and His Gold,"Un avaro enterró su oro en el jardín. Un ladrón lo descubrió y lo robó. El avaro lloraba desesperado, pero un vecino le dijo que enterrara una piedra, pues daría el mismo uso al no gastarlo.","A miser buried his gold in the garden. A thief discovered it and stole it. The miser wept in despair, but a neighbor told him to bury a stone, as it would serve the same purpose since he never spent it."
26,El Roble y la Caña,The Oak and the Reeds,"Un roble orgulloso se burlaba de una frágil caña. Vino una tormenta violenta, el roble resistió con dureza y terminó derribado, mientras la caña se dobló con el viento y sobrevivió en paz.","A proud oak mocked a fragile reed. A violent storm came, the oak resisted stiffly and ended up uprooted, while the reed bent with the wind and survived in peace."
27,El Lobo y el Cabrito,The Wolf and the Kid,"Un cabrito estaba a salvo en el tejado de una casa y empezó a insultar a un lobo que pasaba por la calle. El lobo respondió que no era el cabrito quien lo insultaba, sino el lugar seguro donde estaba.","A kid stood safe on the roof of a house and began to insult a passing wolf on the street. The wolf replied that it was not the kid insulting him, but the safe place where he stood."
28,El Mono y el Delfín,The Monkey and the Dolphin,"Un delfín salvó a un mono de ahogarse y le preguntó si conocía la ciudad. El mono mintió diciendo que el alcalde era su pariente. Al ver su mentira, el delfín lo dejó en el agua por mentiroso.","A dolphin saved a monkey from drowning and asked if he knew the city. The monkey lied saying the mayor was his relative. Seeing his lie, the dolphin left him in the water for being a liar."
29,La Hormiga y la Paloma,The Ant and the Dove,"Una hormiga cayó al agua y una paloma le tiró una hoja para salvarla. Después, un cazador apuntó a la paloma, la hormiga le picó el talón al hombre y la paloma pudo escapar volando feliz.","An ant fell into the water and a dove threw her a leaf to save her. Later, a hunter aimed at the dove, the ant bit the man's heel and the dove was able to escape happily flying away."
30,La Liebre y sus Orejas,The Hare and His Ears,El león decretó que todos los animales con cuernos debían irse del bosque. Una liebre vio la sombra de sus orejas largas y huyó con temor de que el rey tomara sus orejas por cuernos puntiagudos.,The lion decreed that all animals with horns must leave the forest. A hare saw the shadow of her long ears and fled in fear that the king would mistake her ears for pointed horns.
31,El Asno con Piel de León,The Ass in the Lion's Skin,"Un asno se disfrazó con una piel de león y asustó a todos en la granja. Pero al intentar rugir para dar más miedo, rebuznó fuerte. Todos descubrieron su engaño y lo apalearon por impostor.","An ass dressed in a lion's skin and scared everyone on the farm. But trying to roar to scare them more, he brayed loudly. Everyone discovered his trick and beat him for being an impostor."
32,El Pastor y el León,The Shepherd and the Lion,"Un pastor curó la pata herida de un león sacando una espina. Años después, el pastor fue condenado a las fieras. El león lo reconoció, lo defendió de los otros y demostró su eterna gratitud.","A shepherd healed a lion's injured paw by removing a thorn. Years later, the shepherd was condemned to the beasts. The lion recognized him, defended him from others, and showed eternal gratitude."
33,El Cuervo y el Cisne,The Crow and the Swan,"Un cuervo envidiaba las plumas blancas de un cisne. Pensó que bañándose todo el día en el lago se blanquearía. Se mudó al agua, pero sus plumas siguieron negras y murió de frío y hambre.","A crow envied the white feathers of a swan. He thought bathing all day in the lake would whiten him. He moved to the water, but his feathers remained black and he died of cold and hunger."
34,Los Dos Alfareros,The Two Potters,"Dos alfareros hacían vasijas de barro. Uno trabajaba rápido y tosco, el otro lento y fino. La tormenta rompió las vasijas toscas, demostrando que la calidad resiste más que la prisa.","Two potters made clay pots. One worked quickly and roughly, the other slowly and finely. The storm broke the rough pots, proving that quality resists more than haste."
35,El Lobo y la Cigüeña,The Wolf and the Crane,"A un lobo se le atoró un hueso en la garganta. La cigüeña metió su cuello largo y sacó el hueso. Al pedir su pago, el lobo respondió que el mayor premio era haber salido viva de sus fauces.","A wolf had a bone stuck in his throat. The crane put her long neck in and pulled the bone out. Upon asking for her pay, the wolf replied that the greatest reward was getting out of his jaws alive."
36,El Águila y la Flecha,The Eagle and the Arrow,"Un águila fue herida por una flecha. Al mirar la flecha, vio que las plumas estabilizadoras eran de su propia especie. Mayor es el dolor cuando la causa de nuestra caída proviene de nosotros.","An eagle was wounded by an arrow. Looking at the arrow, she saw that the stabilizing feathers were from her own kind. Greater is the pain when the cause of our downfall comes from within."
37,La Rosa y el Amaranto,The Rose and the Amaranth,"Un amaranto alabó la belleza y perfume de una rosa. La rosa respondió con tristeza que su belleza dura poco y muere pronto, mientras que el amaranto vive y florece verde por siempre.","An amaranth praised the beauty and scent of a rose. The rose replied sadly that her beauty lasts briefly and dies soon, while the amaranth lives and blooms green forever."
38,El Asno y la Cigarra,The Ass and the Grasshopper,Un asno envidiaba el dulce canto de la cigarra. Le preguntó qué comía para cantar así. La cigarra respondió que rocío. El asno intentó alimentarse solo de rocío y murió de inanición por necio.,An ass envied the sweet song of the grasshopper. He asked what she ate to sing like that. The grasshopper replied dew. The ass tried to feed only on dew and died of starvation for being foolish.
39,Las Ranas Pidiendo Rey,The Frogs Asking for a King,"Las ranas pidieron un rey a Júpiter. El dios les tiró un tronco. Al ver que no hacía nada, pidieron otro más activo. Júpiter les envió una cigüeña que empezó a devorarlas una a una sin piedad.","The frogs asked Jupiter for a king. The god threw them a log. Seeing it did nothing, they asked for a more active one. Jupiter sent them a stork that began to devour them one by one without mercy."
40,Los Viajeros y el Oso,The Travelers and the Bear,Dos amigos vieron un oso. Uno subió a un árbol y el otro se tiró al suelo fingiéndose muerto. El oso lo olfateó y se fue. El del árbol preguntó qué le dijo el oso: No viajes con amigos que te abandonan.,Two friends saw a bear. One climbed a tree and the other lay on the ground pretending to be dead. The bear sniffed him and left. The one in the tree asked what the bear said: Do not travel with friends who abandon you.
41,El León Enfermo,The Sick Lion,Un león viejo fingió estar enfermo en su cueva para devorar a los animales que iban a visitarlo. La zorra se quedó afuera y le explicó que veía muchas huellas entrando pero ninguna saliendo.,An old lion pretended to be sick in his cave to devour the animals that went to visit him. The fox stood outside and explained that she saw many footprints entering but none leaving.
42,El Caballo y el Ciervo,The Horse and the Stag,"Un caballo peleaba con un ciervo y pidió ayuda a un hombre. El hombre le puso silla y freno para cabalgarlo. Vencieron al ciervo, pero el caballo perdió su libertad al quedar esclavo del hombre.","A horse fought with a stag and asked a man for help. The man saddled and bridled the horse to ride him. They defeated the stag, but the horse lost his freedom by remaining enslaved to the man."
43,El Mercader de Sal y su Asno,The Salt Merchant and His Ass,"Un asno cargado de sal cayó al río y vio que la sal se disolvía, aligerando la carga. Al día siguiente cayó a propósito, pero llevaba esponjas. Al mojarse, pesaron el triple y el asno sufrió.","An ass loaded with salt fell into the river and saw the salt dissolve, lightening the load. The next day he fell on purpose, but carried sponges. When wet, they weighed triple and the ass suffered."
44,El Lobo y el Pastor,The Wolf and the Shepherd,"Un lobo seguía al rebaño sin atacar y el pastor confió en él como guardián. Al ausentarse el pastor, el lobo atacó y devoró las ovejas. Nunca confíes en tu enemigo natural por más manso que parezca.","A wolf followed the flock without attacking and the shepherd trusted him as a guardian. When the shepherd left, the wolf attacked and devoured the sheep. Never trust your natural enemy however gentle he seems."
45,El Murciélago y las Comadrejas,The Bat and the Weasels,"Un murciélago cayó en nido de comadreja que odiaba las aves. Dijo que era ratón y se salvó. Cayó en otra que odiaba ratones, dijo que era ave y se salvó. Adaptarse a las circunstancias es sabio.","A bat fell into a weasel's nest that hated birds. He said he was a mouse and was saved. He fell into another that hated mice, said he was a bird and was saved. Adapting to circumstances is wise."
46,Los Dos Perros,The Two Dogs,"Un perro cazaba en el bosque y el otro cuidaba la casa. El de caza se quejaba de que el casero comía sin esfuerzo. El casero respondió que él no tenía la culpa, sino el dueño que lo enseñó a ser flojo.","One dog hunted in the forest and the other guarded the house. The hunting dog complained that the house dog ate without effort. The house dog replied that it was not his fault, but the master who taught him laziness."
47,El Cazador y la Paloma,The Fowler and the Ringdove,"Un cazador vio una paloma y armó su trampa. Al pisar una serpiente venenosa por estar distraído, esta le mordió el pie. Mayor es la trampa en la que caemos cuando intentamos dañar a otros.","A fowler saw a dove and set his trap. Stepping on a venomous snake because he was distracted, it bit his foot. Greater is the trap we fall into when we try to harm others."
48,El Pastor y las Ovejas,The Shepherd and the Sheep,Un pastor arreó sus ovejas bajo un roble para comer bellotas. El pastor trepó y sacudió las ramas. Las ovejas comieron tanto que reventaron. El exceso de codicia en lo bueno causa nuestra ruina.,A shepherd drove his sheep under an oak to eat acorns. The shepherd climbed and shook the branches. The sheep ate so much they burst. Excess greed in good things causes our ruin.
49,El León y el Delfín,The Lion and the Dolphin,"El león propuso al delfín una alianza para defenderse, pues eran los reyes de la tierra y del mar. El león fue atacado y el delfín no pudo salir del agua a ayudarlo. Elige aliados que puedan socorrerte.","The lion proposed an alliance with the dolphin for defense, as they were kings of land and sea. The lion was attacked and the dolphin could not leave the water to help. Choose allies who can aid you."
50,Cenicienta (Fragmento),Cinderella (Fragment),Cenicienta corrió por las escaleras del palacio perdiendo uno de sus zapatos de cristal mientras el reloj daba las doce campanadas de la medianoche. Su hermoso vestido se transformó en harapos sencillos.,Cinderella ran down the palace stairs losing one of her glass slippers as the clock struck the twelve chimes of midnight. Her beautiful dress transformed back into simple rags.
51,Hansel y Gretel,Hansel and Gretel,"Hansel y Gretel eran hermanos que vivían con su padre y una malvada madrastra. Un día, la madrastra los abandonó en el bosque. Los niños encontraron una casa hecha de dulces y chocolate. Una bruja malvada los atrapó para comérselos. Gretel empujó a la bruja al horno y escaparon con tesoros. Volvieron a casa y vivieron felices con su padre para siempre.","Hansel and Gretel were siblings who lived with their father and a wicked stepmother. One day, the stepmother abandoned them in the forest. The children found a house made of candy and chocolate. An evil witch trapped them to eat them. Gretel pushed the witch into the oven and they escaped with treasures. They returned home and lived happily with their father forever."
52,Caperucita Roja,Little Red Riding Hood,"Una niña llamada Caperucita Roja llevaba una canasta para su abuelita enferma. En el bosque conoció a un lobo que le preguntó adónde iba. El lobo llegó primero a la casa de la abuelita, se la comió y se disfrazó con su ropa. Cuando Caperucita llegó, notó que su abuelita tenía orejas grandes y dientes enormes. Un cazador las salvó abriendo la panza del lobo.","A girl named Little Red Riding Hood carried a basket for her sick grandmother. In the forest she met a wolf who asked where she was going. The wolf arrived first at the grandmother's house, ate her, and dressed in her clothes. When Little Red arrived, she noticed her grandmother had big ears and huge teeth. A hunter saved them by cutting open the wolf's belly."
53,Ricitos de Oro,Goldilocks,"Una niña llamada Ricitos de Oro se perdió en el bosque y encontró una casa vacía. Entró sin permiso y probó tres tazas de sopa, tres sillas y tres camas. La más pequeña le pareció perfecta. Los tres osos que vivían allí regresaron y la encontraron durmiendo. Ella despertó asustada y salió corriendo hacia su casa, aprendiendo a no entrar en casas ajenas.","A girl named Goldilocks got lost in the forest and found an empty house. She entered without permission and tasted three bowls of soup, three chairs, and three beds. The smallest one seemed perfect. The three bears who lived there returned and found her sleeping. She woke up frightened and ran home, learning never to enter strangers' houses."
54,El Patito Feo,The Ugly Duckling,"Un patito nació más grande y gris que sus hermanitos amarillos. Todos se burlaban de su apariencia fea y lo rechazaban. Triste y solo, vagó por lagos y campos durante todo el invierno. Cuando llegó la primavera, descubrió que se había transformado en un hermoso cisne blanco. Todos lo admiraron y entendió que la belleza interior siempre brilla con el tiempo.","A duckling was born bigger and grayer than his yellow siblings. Everyone mocked his ugly appearance and rejected him. Sad and alone, he wandered through lakes and fields all winter. When spring arrived, he discovered he had transformed into a beautiful white swan. Everyone admired him and he understood that inner beauty always shines with time."
55,La Bella Durmiente,Sleeping Beauty,"Una princesa llamada Aurora fue maldita por una hada malvada: se pincharía el dedo con una rueca y dormiría cien años. A pesar de los cuidados de sus padres, la maldición se cumplió el día de sus dieciséis años. Todo el reino durmió con ella. Un valiente príncipe atravesó los muros de espinas y la despertó con un beso de amor verdadero, rompiendo el hechizo para siempre.","A princess named Aurora was cursed by an evil fairy: she would prick her finger on a spindle and sleep for a hundred years. Despite her parents' care, the curse came true on her sixteenth birthday. The entire kingdom slept with her. A brave prince crossed the walls of thorns and woke her with a kiss of true love, breaking the spell forever."
56,Blanca Nieves,Snow White,"Blanca Nieves era una princesa de piel blanca como la nieve. Su madrastra, una reina celosa, ordenó matarla por ser más hermosa. La joven escapó y vivió con siete enanitos en el bosque. La reina envenenó una manzana y la hizo caer en un sueño profundo. Un príncipe la despertó con un beso y la reina malvada recibió su merecido castigo finalmente.","Snow White was a princess with skin white as snow. Her stepmother, a jealous queen, ordered her killed for being more beautiful. The young girl escaped and lived with seven dwarfs in the forest. The queen poisoned an apple and made her fall into a deep sleep. A prince woke her with a kiss and the wicked queen finally received her deserved punishment."
57,Rapunzel,Rapunzel,"Una pareja robó una planta mágica de una bruja y como castigo la bruja les quitó a su hija. Rapunzel creció encerrada en una torre sin puertas. Su cabello dorado y largo servía como escalera. Un príncipe la escuchó cantar y subió por su pelo. La bruja descubrió su secreto, cortó el cabello y los separó. Finalmente, se reunieron y vivieron felices lejos de la torre.","A couple stole a magical plant from a witch and as punishment the witch took their daughter. Rapunzel grew up locked in a tower with no doors. Her long golden hair served as a ladder. A prince heard her sing and climbed her hair. The witch discovered their secret, cut the hair, and separated them. Finally, they reunited and lived happily away from the tower."
58,Rumpelstiltskin,Rumpelstiltskin,"Un molinero dijo al rey que su hija podía hilar paja y convertirla en oro. El rey la encerró en una habitación llena de paja. Un hombrecillo mágico apareció y le ofreció ayuda a cambio de su primer hijo. La joven aceptó desesperada. Cuando llegó el momento de pagar, descubrió el nombre del duende gritándolo en el bosque. El enano se enfureció y desapareció para siempre.","A miller told the king that his daughter could spin straw into gold. The king locked her in a room full of straw. A magical little man appeared and offered help in exchange for her first child. The young woman accepted desperately. When the time came to pay, she discovered the goblin's name by hearing it shouted in the woods. The dwarf raged and disappeared forever."
59,La Sirenita,The Little Mermaid,"Ariel era una joven sirena que soñaba con vivir en la tierra. Salvó a un príncipe de un naufragio y se enamoró de él. Para obtener piernas, hizo un trato con una bruja del mar, pero perdió su voz. El príncipe no reconoció su sacrificio y se casó con otra. En lugar de matarlo para salvarse, ella se convirtió en espuma con un acto de amor verdadero y purificador.","Ariel was a young mermaid who dreamed of living on land. She saved a prince from a shipwreck and fell in love with him. To get legs, she made a deal with a sea witch, but lost her voice. The prince did not recognize her sacrifice and married another. Instead of killing him to save herself, she turned into foam with an act of true and purifying love."
60,Pinocho,Pinocchio,"Geppetto talló un muñeco de madera llamado Pinocho que cobró vida gracias a un hada. Cada vez que mentía, su nariz crecía larga y curva. Pinocho desobedeció a su padre, se unió a un circo y casi se convierte en burro. Finalmente demostró su valentía y honestidad salvando a Geppetto de un monstruo marino. El hada lo transformó en un niño de verdad como recompensa.","Geppetto carved a wooden puppet named Pinocchio who came to life thanks to a fairy. Every time he lied, his nose grew long and curved. Pinocchio disobeyed his father, joined a circus, and nearly turned into a donkey. Finally he proved his courage and honesty by saving Geppetto from a sea monster. The fairy transformed him into a real boy as a reward."
61,Los Tres Cerditos,The Three Little Pigs,"Tres cerditos hermanos decidieron construir cada uno su propia casa. El primero la hizo de paja, el segundo de madera y el tercero de ladrillos. Un lobo hambriento sopló y derribó las dos primeras casas con facilidad. Los cerditos escaparon a la casa de ladrillos. El lobo intentó entrar por la chimenea, pero cayó en una olla de agua hirviendo y nunca más volvió a molestarlos.","Three pig brothers decided to build their own houses. The first made his of straw, the second of wood, and the third of bricks. A hungry wolf blew and knocked down the first two houses easily. The pigs escaped to the brick house. The wolf tried to enter through the chimney, but fell into a pot of boiling water and never bothered them again."
62,Pulgarcito,Tom Thumb,"Una pareja de campesinos deseaba tener un hijo, aunque fuera del tamaño de un pulgar. Su deseo se cumplió y Pulgarcito nació minúsculo pero muy inteligente. Fue secuestrado varias veces por animales y ladrones, pero siempre encontró la forma de escapar usando su astucia. Regresó a casa con una fortuna en monedas y vivió feliz junto a su amada familia para siempre.","A farming couple wished for a child, even if he were the size of a thumb. Their wish came true and Tom Thumb was born tiny but very clever. He was kidnapped several times by animals and thieves, but always found ways to escape using his wits. He returned home with a fortune in coins and lived happily with his beloved family forever."
63,El Gato con Botas,Puss in Boots,"Un molinero dejó a su hijo menor un gato como única herencia. El gato era astuto y le pidió un par de botas y una bolsa. Engañó a un ogro transformándose en un ratón, lo devoró y le quitó sus tierras. Presentó a su amo como el marqués de Carabás ante el rey. El joven se casó con la princesa gracias a la inteligencia y audacia de su gato leal y valiente.","A miller left his youngest son a cat as his only inheritance. The cat was clever and asked for a pair of boots and a bag. He tricked an ogre by transforming into a mouse, devoured him, and took his lands. He presented his master as the Marquis of Carabas to the king. The young man married the princess thanks to the intelligence and audacity of his loyal and brave cat."
64,La Bella y la Bestia,Beauty and the Beast,"Bella era una joven bondadosa que vivía with her poor father. Él entró a un castillo encantado y la Bestia lo capturó. Bella ofreció quedarse prisionera a cambio de la libertad de su padre. Con el tiempo, descubrió que la Bestia era en realidad un príncipe bajo un hechizo. Su amor verdadero rompió la maldición y el castillo volvió a brillar con magia y alegría eterna.","Belle was a kind young woman who lived with her poor father. He entered an enchanted castle and the Beast captured him. Belle offered to stay prisoner in exchange for her father's freedom. Over time, she discovered that the Beast was actually a prince under a spell. Her true love broke the curse and the castle shone again with magic and eternal joy."
65,Jack y las Habichuelas Mágicas,Jack and the Beanstalk,"Jack vendió su vaca por unas habichuelas mágicas que crecieron hasta el cielo durante la noche. Subió por el tallo y encontró un castillo donde vivía un ogro gigante. Robó un gallo de oro y un arpa mágica. El ogro lo persiguió, pero Jack cortó la habichuela y el gigante cayó. Con el tesoro, Jack y su madre vivieron sin preocupaciones económicas jamás.","Jack sold his cow for some magic beans that grew to the sky overnight. He climbed the stalk and found a castle where a giant ogre lived. He stole a golden hen and a magic harp. The ogre chased him, but Jack cut the beanstalk and the giant fell. With the treasure, Jack and his mother lived without economic worries ever again."
66,Aladino y la Lámpara Maravillosa,Aladdin and the Magic Lamp,"Aladino era un joven pobre que encontró una lámpara mágica en una cueva oscura. Al frotarla, apareció un genio poderoso que concedía tres deseos. Con su ayuda, construyó un palacio y se casó con la princesa. Un mago malvado intentó robarle la lámpara, pero Aladino recuperó su tesoro usando su ingenio. Vivió feliz gobernando con justicia y sabiduría eterna.","Aladdin was a poor young man who found a magic lamp in a dark cave. By rubbing it, a powerful genie appeared who granted three wishes. With his help, he built a palace and married the princess. An evil sorcerer tried to steal the lamp, but Aladdin recovered his treasure using his wit. He lived happily ruling with justice and eternal wisdom."
67,Ali Babá y los Cuarenta Ladrones,Ali Baba and the Forty Thieves,Ali Babá era un leñador que descubrió la cueva de unos ladrones y la palabra mágica para abrirla. Su hermano codicioso entró y no pudo salir. Los ladrones descubrieron a Ali Babá y planearon matarlo. Una sirvienta lista vertió aceite hirviendo sobre los bandidos escondidos en tinajas. Ali Babá quedó a salvo y heredó todo el tesoro de los malvados ladrones.,Ali Baba was a woodcutter who discovered a thieves' cave and the magic word to open it. His greedy brother entered and could not leave. The thieves discovered Ali Baba and planned to kill him. A clever servant poured boiling oil over the bandits hidden in jars. Ali Baba was saved and inherited all the treasure from the wicked thieves.
68,Simbad el Marino,Sinbad the Sailor,"Simbad era un marinero de Bagdad que vivió siete viajes extraordinarios llenos de peligros y maravillas. Encontró islas que eran gigantes peces, pájaros roc de plumas enormes y valles de diamantes. Luchó contra monstruos marinos y escapó de cuevas de gigantes. Cada regreso a casa lo hizo más rico y sabio. Sus historias inspiraron a generaciones de aventureros valientes.","Sinbad was a sailor from Baghdad who lived seven extraordinary voyages full of dangers and marvels. He found islands that were giant fish, rocs with enormous feathers, and valleys of diamonds. He fought sea monsters and escaped giants' caves. Each return home made him richer and wiser. His stories inspired generations of brave adventurers."
